"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"TAK.285","Pearson.est","EGFR inhibitor",0.30433,0.755,0.805,423,0.989,TRUE,FALSE,"EGFR inhibitor"
"TAK.632","Pearson.est","RAF inhibitor",0.28493,0.703,0.861,20,0.968,TRUE,FALSE,"RAF inhibitor"
"TAK.715","Pearson.est","p38 MAPK inhibitor",0.33239,0.831,0.7,186,0.986,TRUE,FALSE,"p38 MAPK inhibitor"
"TG.02","Pearson.est","CDK inhibitor",0.29785,0.771,0.723,93,0.849,TRUE,FALSE,"CDK inhibitor, FLT3 inhibitor, JAK inhibitor"
"TG.100572","Pearson.est","VEGFR inhibitor",0.34809,0.885,0.58,432,0.944,TRUE,FALSE,"src inhibitor, VEGFR inhibitor"
"TG.100713","Pearson.est","PI3K inhibitor",-0.25897,-0.692,0.801,1287,1,TRUE,FALSE,"PI3K inhibitor"
"TG.101209","Pearson.est","JAK inhibitor",-0.18546,-0.504,0.983,1345,0.986,TRUE,FALSE,"JAK inhibitor"
"TG.101348","Pearson.est","FLT3 inhibitor",0.22111,0.556,0.957,316,0.984,TRUE,FALSE,"FLT3 inhibitor, JAK inhibitor"
"TG.101348","Pearson.est","JAK inhibitor",-0.34645,-0.896,0.59,1204,1,TRUE,FALSE,"FLT3 inhibitor, JAK inhibitor"
"TG100.115","Pearson.est","PI3K inhibitor",-0.33731,-1.01,0.376,1157,0.702,TRUE,FALSE,"PI3K inhibitor"
"TH.302","Pearson.est","DNA alkylating agent",0.37245,0.948,0.533,647,0.859,TRUE,FALSE,"DNA alkylating agent"
"TW.37","Pearson.est","BCL inhibitor",0.3445,0.841,0.68,471,0.87,TRUE,FALSE,"BCL inhibitor"
"TWS.119","Pearson.est","glycogen synthase kinase inhibitor",0.37433,0.925,0.532,335,0.827,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"U.0126","Pearson.est","MEK inhibitor",0.40004,0.974,0.489,511,0.955,TRUE,FALSE,"MEK inhibitor"
"UNBS.5162","Pearson.est","CC chemokine receptor antagonist",0.30016,0.743,0.79,244,1,TRUE,FALSE,"CC chemokine receptor antagonist"
"VER.49009","Pearson.est","HSP inhibitor",0.32532,0.884,0.572,113,0.769,TRUE,FALSE,"HSP inhibitor"
"WHI.P154","Pearson.est","JAK inhibitor",0.21703,0.55,0.967,406,1,TRUE,FALSE,"JAK inhibitor"
"WZ.4002","Pearson.est","EGFR inhibitor",0.12369,0.305,1,687,1,TRUE,FALSE,"EGFR inhibitor"
"YM.201636","Pearson.est","PI3K inhibitor",0.22106,0.547,0.961,428,0.963,TRUE,FALSE,"PI3K inhibitor"
"YM.976","Pearson.est","phosphodiesterase inhibitor",-0.30382,-0.83,0.651,1038,0.866,TRUE,FALSE,"phosphodiesterase inhibitor"
"ZK.93423","Pearson.est","benzodiazepine receptor agonist",-0.49334,-1.24,0.226,829,0.607,TRUE,FALSE,"benzodiazepine receptor agonist"
"ZM.306416","Pearson.est","src inhibitor",0.35427,0.853,0.638,561,0.843,TRUE,FALSE,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor"
"ZM.306416","Pearson.est","VEGFR inhibitor",-0.32291,-0.897,0.543,1175,0.978,TRUE,FALSE,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor"
"ZSTK.474","Pearson.est","PI3K inhibitor",0.21747,0.537,0.953,511,0.992,TRUE,FALSE,"PI3K inhibitor"
"acetophenazine","Pearson.est","dopamine receptor antagonist",-0.14953,-0.415,0.997,1313,0.997,TRUE,FALSE,"dopamine receptor antagonist"
"adapalene","Pearson.est","retinoid receptor agonist",-0.39416,-1.03,0.382,1336,0.78,TRUE,FALSE,"retinoid receptor agonist"
"adarotene","Pearson.est","retinoid receptor agonist",-0.48052,-1.48,0.104,1052,0.499,TRUE,FALSE,"retinoid receptor agonist"
"ajmaline","Pearson.est","sodium channel blocker",0.34712,0.837,0.677,546,0.934,TRUE,FALSE,"sodium channel blocker"
"alectinib","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.3006,-0.736,0.801,976,0.902,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"altretamine","Pearson.est","DNA synthesis inhibitor",0.19306,0.544,0.95,1083,1,TRUE,FALSE,"DNA synthesis inhibitor"
"alvocidib","Pearson.est","CDK inhibitor",0.38028,0.937,0.539,421,0.886,TRUE,FALSE,"CDK inhibitor"
"anguidine","Pearson.est","protein synthesis inhibitor",0.39546,0.963,0.505,515,0.864,TRUE,FALSE,"protein synthesis inhibitor"
"anisomycin","Pearson.est","DNA synthesis inhibitor",0.29265,0.766,0.715,422,0.748,TRUE,FALSE,"DNA synthesis inhibitor"
"apatinib","Pearson.est","RET tyrosine kinase inhibitor",-0.31063,-0.894,0.579,1327,0.983,TRUE,FALSE,"RET tyrosine kinase inhibitor"
"arctigenin","Pearson.est","MEK inhibitor",0.29383,0.721,0.84,865,1,TRUE,FALSE,"MEK inhibitor"
"arcyriaflavin.a","Pearson.est","CDK inhibitor",0.18183,0.446,0.994,662,1,TRUE,FALSE,"CDK inhibitor"
"artemisinin","Pearson.est","DNA synthesis inhibitor",-0.2052,-0.608,0.925,1336,1,TRUE,FALSE,"DNA synthesis inhibitor"
"artesunate","Pearson.est","DNA synthesis inhibitor",0.28986,0.751,0.793,371,1,TRUE,FALSE,"DNA synthesis inhibitor"
"aspirin","Pearson.est","cyclooxygenase inhibitor",-0.25383,-0.659,0.837,926,1,TRUE,FALSE,"cyclooxygenase inhibitor"
"atenolol....","Pearson.est","adrenergic receptor antagonist",0.39409,0.982,0.486,434,0.909,TRUE,FALSE,"adrenergic receptor antagonist"
"atenolol......","Pearson.est","adrenergic receptor antagonist",0.23749,0.621,0.892,109,1,TRUE,FALSE,"adrenergic receptor antagonist"
"atiprimod","Pearson.est","JAK inhibitor",0.37847,0.98,0.455,249,0.761,TRUE,FALSE,"JAK inhibitor, STAT inhibitor"
"avanafil","Pearson.est","phosphodiesterase inhibitor",0.30471,0.771,0.734,20,0.916,TRUE,FALSE,"phosphodiesterase inhibitor"
"azodicarbonamide","Pearson.est","DNA synthesis inhibitor",0.41891,0.991,0.481,433,0.942,TRUE,FALSE,"DNA synthesis inhibitor"
"azomycin..2.nitroimidazole.","Pearson.est","protein synthesis inhibitor",0.36874,0.902,0.591,208,1,TRUE,FALSE,"protein synthesis inhibitor"
"baricitinib","Pearson.est","JAK inhibitor",-0.22797,-0.588,0.933,1324,1,TRUE,FALSE,"JAK inhibitor"
"benzocaine","Pearson.est","sodium channel blocker",-0.38555,-1.11,0.316,1178,0.774,TRUE,FALSE,"sodium channel blocker"
"beta.lapachone","Pearson.est","topoisomerase inhibitor",0.25034,0.629,0.883,422,0.929,TRUE,FALSE,"topoisomerase inhibitor"
"betulinic.acid","Pearson.est","NFkB pathway inhibitor",-0.33542,-0.958,0.457,1143,1,TRUE,FALSE,"apoptosis stimulant, NFkB pathway inhibitor"
"bindarit","Pearson.est","NFkB pathway inhibitor",0.31067,0.834,0.609,250,0.982,TRUE,FALSE,"NFkB pathway inhibitor"
"blebbistatin....","Pearson.est","ATPase inhibitor",-0.35261,-0.955,0.476,1072,0.923,TRUE,FALSE,"ATPase inhibitor"
"bortezomib","Pearson.est","NFkB pathway inhibitor",0.3198,0.793,0.724,171,0.952,TRUE,FALSE,"NFkB pathway inhibitor, proteasome inhibitor"
"bosutinib","Pearson.est","Abl kinase inhibitor",-0.28078,-0.745,0.751,1026,0.863,TRUE,FALSE,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor"
"bosutinib","Pearson.est","src inhibitor",-0.3293,-0.882,0.556,941,0.825,TRUE,FALSE,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor"
"buphenine","Pearson.est","adrenergic receptor agonist",-0.27075,-0.822,0.68,1237,0.778,TRUE,FALSE,"adrenergic receptor agonist"
"butamben","Pearson.est","sodium channel blocker",0.40479,0.986,0.484,250,1,TRUE,FALSE,"sodium channel blocker"
"cabozantinib","Pearson.est","RET tyrosine kinase inhibitor",-0.45539,-1.2,0.254,1326,0.477,TRUE,FALSE,"RET tyrosine kinase inhibitor, VEGFR inhibitor"
"capecitabine","Pearson.est","DNA synthesis inhibitor",-0.22472,-0.627,0.924,300,1,TRUE,FALSE,"DNA synthesis inhibitor, thymidylate synthase inhibitor"
"capecitabine","Pearson.est","thymidylate synthase inhibitor",0.36639,0.916,0.56,350,0.777,TRUE,FALSE,"DNA synthesis inhibitor, thymidylate synthase inhibitor"
"carboxyamidotriazole","Pearson.est","calcium channel blocker",-0.46834,-1.36,0.125,1241,0.44,TRUE,FALSE,"calcium channel blocker"
"carvedilol","Pearson.est","adrenergic receptor antagonist",-0.30949,-0.878,0.571,1201,1,TRUE,FALSE,"adrenergic receptor antagonist"
"cediranib","Pearson.est","KIT inhibitor",-0.40022,-1.11,0.312,1199,0.587,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"cediranib","Pearson.est","VEGFR inhibitor",0.29213,0.703,0.835,334,0.937,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"chlorambucil","Pearson.est","DNA inhibitor",0.3726,0.914,0.557,150,0.876,TRUE,FALSE,"DNA inhibitor"
"chloramphenicol.palmitate","Pearson.est","protein synthesis inhibitor",0.23757,0.647,0.892,133,0.943,TRUE,FALSE,"protein synthesis inhibitor"
"chloropyramine","Pearson.est","histamine receptor antagonist",0.23652,0.694,0.811,240,0.941,TRUE,FALSE,"histamine receptor antagonist"
"cibenzoline","Pearson.est","sodium channel blocker",0.34479,0.849,0.657,355,0.745,TRUE,FALSE,"sodium channel blocker"
"cidofovir","Pearson.est","DNA polymerase inhibitor",-0.27815,-0.83,0.646,373,0.853,TRUE,FALSE,"DNA polymerase inhibitor"
"cimetidine","Pearson.est","histamine receptor antagonist",0.36272,0.918,0.551,393,0.799,TRUE,FALSE,"histamine receptor antagonist"
"cinnarazine","Pearson.est","calcium channel blocker",-0.37044,-1.11,0.276,1320,0.922,TRUE,FALSE,"calcium channel blocker"
"cisplatin","Pearson.est","DNA alkylating agent",0.3279,0.785,0.725,315,1,TRUE,FALSE,"DNA alkylating agent, DNA synthesis inhibitor"
"clenbuterol","Pearson.est","adrenergic receptor agonist",-0.45787,-1.28,0.184,1123,1,TRUE,FALSE,"adrenergic receptor agonist"
"clindamycin.phosphate","Pearson.est","protein synthesis inhibitor",-0.29575,-0.793,0.692,1025,1,TRUE,FALSE,"protein synthesis inhibitor"
"clofarabine","Pearson.est","ribonucleotide reductase inhibitor",0.3852,0.897,0.586,564,0.871,TRUE,FALSE,"ribonucleotide reductase inhibitor"
"clofibrate","Pearson.est","PPAR receptor agonist",-0.72293,-1.92,0.00829,1062,0.0993,TRUE,FALSE,"PPAR receptor agonist"
"clofoctol","Pearson.est","protein synthesis inhibitor",-0.66241,-1.7,0.0201,1145,0.33,TRUE,FALSE,"protein synthesis inhibitor"
"cobicistat","Pearson.est","cytochrome P450 inhibitor",-0.47863,-1.36,0.124,1289,0.578,TRUE,FALSE,"cytochrome P450 inhibitor"
"crenolanib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.21066,-0.624,0.945,1289,0.98,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"cyclocytidine","Pearson.est","DNA synthesis inhibitor",0.33052,0.782,0.766,421,0.926,TRUE,FALSE,"DNA synthesis inhibitor, RNA synthesis inhibitor"
"cyclophosphamide","Pearson.est","DNA alkylating agent",-0.18352,-0.56,0.96,245,1,TRUE,FALSE,"DNA alkylating agent"
"cyproheptadine","Pearson.est","histamine receptor antagonist",-0.39858,-1.16,0.245,1103,0.563,TRUE,FALSE,"histamine receptor antagonist"
"cyproterone.acetate","Pearson.est","androgen receptor antagonist",-0.44082,-1.14,0.305,1250,0.631,TRUE,FALSE,"androgen receptor antagonist"
"cytarabine","Pearson.est","ribonucleotide reductase inhibitor",-0.47882,-1.31,0.185,1004,0.495,TRUE,FALSE,"ribonucleotide reductase inhibitor"
"dacarbazine","Pearson.est","DNA alkylating agent",-0.20796,-0.518,0.982,933,1,TRUE,FALSE,"DNA alkylating agent"
"daclatasvir","Pearson.est","HCV inhibitor",-0.35838,-0.993,0.429,1123,0.935,TRUE,FALSE,"HCV inhibitor"
"danazol","Pearson.est","progesterone receptor agonist",-0.69057,-2.02,0.0153,1161,0.0909,TRUE,FALSE,"estrogen receptor antagonist, progesterone receptor agonist"
"darifenacin","Pearson.est","acetylcholine receptor antagonist",0.30339,0.697,0.857,698,0.936,TRUE,FALSE,"acetylcholine receptor antagonist"
"dasatinib","Pearson.est","KIT inhibitor",0.26218,0.649,0.86,192,0.923,TRUE,FALSE,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor"
"dasatinib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.33244,0.83,0.652,547,0.925,TRUE,FALSE,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor"
"dasatinib","Pearson.est","tyrosine kinase inhibitor",0.36972,0.906,0.564,581,0.918,TRUE,FALSE,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor"
"delanzomib","Pearson.est","proteasome inhibitor",0.29295,0.724,0.83,449,0.968,TRUE,FALSE,"proteasome inhibitor"
